team id,club ,La Liga  ,champinos leage,europa leage,market value (euros),average market value (euros)
1,Real Madrid ,33,12,2,955.35m,29.85m
2,FC Barcelona ,24,5,0,1.09b,34.19m
3,Atl?tico de Madrid,10,0,2,711.15m,19.75m
4,Athletic Bilbao,8,0,,249.40m,7.56m
5,Valencia CF,6,0,1,398.05m,13.27m
6,Real Sociedad,2,0,,232.95m,8.03m
7,Deportivo de La Coru?a,1,0,,66.45m,1.85m
8,Real Betis Balompi?,1,0,,132.25m,4.27m
9,Sevilla FC,1,0,5,253.20m,7.67m
10,CD Legan?s,0,0,,58.55m,1.72m
11,Celta de Vigo,0,0,,173.05m,5.41m
12,Deportivo Alav?s,0,0,,74.80m,2.27m
13,Getafe CF,0,0,,65.60m,1.82m
14,Girona FC  ,0,0,,81.75m,2.73m
15,Levante UD ,0,0,,61.85m,1.67m
16,M?laga CF,0,0,,55.20m,1.38m
17,RCD Espanyol Barcelona,0,0,,97.80m,3.37m
18,SD Eibar,0,0,,60.05m,1.82m
19,UD Las Palmas,0,0,,91.25m,2.40m
20,Villarreal CF,0,0,1,220.00m,5.50m
